Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
45,[tst]cautionfun,12,30,23,23,0,0,3,2,0,2
45,DiegoFerreL,12,71,22,22,0,0,3,1,0,2
45,Wezz,11,30,21,21,0,0,2,1,2,1
45,Charles Utkins,12,49,21,21,0,0,2,1,2,1
45,[Mythic] Ducky,12,38,21,21,0,0,2,1,2,1
45,nshrd,12,31,21,21,0,0,2,1,2,1
45,SpaceCoastKook,12,40,20,20,0,1,1,2,1,1
45,[tst]themudman,12,30,20,20,0,1,1,2,1,1
45,carebear,11,30,20,20,0,1,1,2,1,1
45,Moonpig,10,32,19,19,0,2,1,1,2,0
45,z3ll,12,19,19,19,0,2,1,0,2,0
45,rl958,12,24,19,19,0,2,1,0,2,0
45,jama,12,30,19,19,0,2,1,1,2,0
45,Apollo,12,19,19,19,0,2,1,0,2,0
45,V-Hirvi,12,46,19,19,0,2,1,1,2,0
45,Lysander,12,34,19,19,0,2,1,1,2,0
45,Грумвол,12,19,19,19,0,2,1,0,2,0
45,Shibanqk,12,33,19,19,0,2,1,1,2,0
45,[tst]bonkthatbutt,12,19,19,19,0,2,1,0,2,0
45,[Mythic] Unchained,12,34,19,19,0,2,1,1,2,0
45,Nagibator777,9,30,20,18,0,3,0,1,2,0
45,Isildur,9,30,20,18,0,3,0,1,2,0
45,PleaseDontRopeMe,9,35,19,18,0,3,0,1,2,0
45,flex13,12,32,18,18,0,3,0,1,2,0
45,RedDeath,10,18,18,18,0,3,0,0,2,0
45,Mirage88,12,49,18,18,0,3,0,1,2,0
45,Sir Tango,12,22,18,18,0,3,0,0,2,0
45,Gandharva,12,30,18,18,0,3,0,1,2,0
45,SniffOnMe,11,21,18,18,0,3,0,0,2,0
45,verbalshadow,11,20,18,18,0,3,0,0,2,0
45,Krumpy Lumpkins,12,35,18,18,0,3,0,1,2,0
45,三十九,11,18,18,18,0,3,0,0,2,0
45,GUDecks.com,12,34,18,18,0,3,0,1,2,0
45,Kosgameslp,9,18,18,18,0,3,0,0,2,0
45,Surface2AirMissle,8,19,19,17,1,2,0,0,2,0
45,Nininiao,8,19,18,17,1,2,0,0,2,0
45,Fantomasek,11,37,17,17,1,2,0,1,2,0
45,Godamnitleeroy,12,34,17,17,1,2,0,1,2,0
45,WalkThisWay,11,17,17,17,1,2,0,0,2,0
45,Manymany,8,42,17,17,1,2,0,1,2,0
45,zlaxor,12,25,17,17,1,2,0,0,2,0
45,n!ghtl!ght,8,22,17,17,1,2,0,0,2,0
45,Starboy,9,29,17,17,1,2,0,0,2,0
45,JoltzNinja,11,34,17,17,1,2,0,1,2,0
45,اکویٹا,11,31,17,17,1,2,0,1,2,0
45,ZENIMOON,9,20,17,17,1,2,0,0,2,0
45,KceoLine,8,31,17,17,1,2,0,1,2,0
45,BasVanSpanker,8,22,17,17,1,2,0,0,2,0
45,Yompster,8,28,17,17,1,2,0,0,2,0
45,mike0182,11,22,17,17,1,2,0,0,2,0
45,ногоонзалуу,12,30,17,17,1,2,0,1,2,0
45,Lilac,12,17,17,17,1,2,0,0,2,0
45,TheNachoSamurai,12,42,17,17,1,2,0,1,2,0
45,The38th,12,42,17,17,1,2,0,1,2,0
45,ozimodan,12,18,17,17,1,2,0,0,2,0
45,Wades.ETH,12,51,17,17,1,2,0,1,2,0
45,Scuffle,12,20,17,17,1,2,0,0,2,0
45,TREY,12,31,17,17,1,2,0,1,2,0
45,monStar,12,17,17,17,1,2,0,0,2,0
45,krashnovr,10,17,17,17,1,2,0,0,2,0
45,chaoren,12,44,17,17,1,2,0,1,2,0
45,RavenGuard,12,30,17,17,1,2,0,1,2,0
45,gothmaug,11,18,17,17,1,2,0,0,2,0
45,Ayo,12,19,17,17,1,2,0,0,2,0
45,Aragon,12,33,17,17,1,2,0,1,2,0
45,trent_reznor,7,28,19,16,0,3,0,1,1,0
45,Thirdman,7,30,18,16,0,3,0,2,1,0
45,⌀,7,18,18,16,0,3,0,1,1,0
45,JohnTravolta,7,17,17,16,0,3,0,1,1,0
45,fluffyhag,7,21,17,16,0,3,0,1,1,0
45,Dallas_barr,12,16,16,16,0,3,0,1,1,0
45,Longy,12,33,16,16,0,3,0,2,1,0
45,ghostrestaurantlab_inago,7,16,16,16,0,3,0,1,1,0
45,galdames2,7,16,16,16,0,3,0,1,1,0
45,Naio,8,20,16,16,0,3,0,1,1,0
45,bkositzke,11,27,16,16,0,3,0,1,1,0
45,自然,12,34,16,16,0,3,0,2,1,0
45,[tst] Freedan,12,30,16,16,0,3,0,2,1,0
45,Sparkyknight,7,16,16,16,0,3,0,1,1,0
45,Mr_Zinger,8,16,16,16,0,3,0,1,1,0
45,Androssi,10,16,16,16,0,3,0,1,1,0
45,Elyon,11,19,16,16,0,3,0,1,1,0
45,stoeckro,8,16,16,16,0,3,0,1,1,0
45,amin,10,23,16,16,0,3,0,1,1,0
45,[Mythic] GGian,12,31,16,16,0,3,0,2,1,0
45,魔junior,12,16,16,16,0,3,0,1,1,0
45,Lucifer,12,17,16,16,0,3,0,1,1,0
45,ø,12,16,16,16,0,3,0,1,1,0
45,athlee,8,16,16,16,0,3,0,1,1,0
45,Aadi1912,7,36,16,16,0,3,0,2,1,0
45,Stede,11,16,16,16,0,3,0,1,1,0
45,のんちゃん,12,37,16,16,0,3,0,2,1,0
45,[Mythic] Dragonstorm,12,32,16,16,0,3,0,2,1,0
45,Ἄρης,12,16,16,16,0,3,0,1,1,0
45,Þ,11,16,16,16,0,3,0,1,1,0
45,eddie murphy,8,22,16,16,0,3,0,1,1,0
45,CopperPitch,12,30,16,16,0,3,0,2,1,0
45,cryptoznewb,11,19,16,16,0,3,0,1,1,0
45,maulotov,12,20,16,16,0,3,0,1,1,0
45,FoxCries,12,25,16,16,0,3,0,1,1,0
45,benyasu,12,16,16,16,0,3,0,1,1,0
45,SonGokuBg,9,16,16,16,0,3,0,1,1,0
45,jackow80,8,31,16,16,0,3,0,2,1,0
45,gou,12,18,16,16,0,3,0,1,1,0
45,Bozie,5,22,20,15,1,2,0,2,0,0
45,Zweinhander,5,17,17,15,1,2,0,2,0,0
45,deadboy666,6,34,17,15,1,2,0,3,0,0
45,wadamaruz,6,22,16,15,1,2,0,2,0,0
45,TheFireWithin,5,43,16,15,1,2,0,3,0,0
45,POOKIDS420,7,24,15,15,1,2,0,2,0,0
45,sparky,10,33,15,15,1,2,0,3,0,0
45,AMRLordCoins,7,19,15,15,1,2,0,2,0,0
45,X Æ A-12,7,17,15,15,1,2,0,2,0,0
45,Akilsainon,12,15,15,15,1,2,0,2,0,0
45,eMeS,8,19,15,15,1,2,0,2,0,0
45,cambocleve,9,15,15,15,1,2,0,2,0,0
45,o-o,5,20,15,15,1,2,0,2,0,0
45,ArzrA,9,15,15,15,1,2,0,2,0,0
45,Ckastigador,12,19,15,15,1,2,0,2,0,0
45,k2h,12,15,15,15,1,2,0,2,0,0
45,♪♪♪♪♪,9,17,15,15,1,2,0,2,0,0
45,John McClane,12,15,15,15,1,2,0,2,0,0
45,Noshlarr,10,15,15,15,1,2,0,2,0,0
45,ZEALOT,10,18,15,15,1,2,0,2,0,0
45,Swen 122,5,15,15,15,1,2,0,2,0,0
45,swimlane72,9,23,15,15,1,2,0,2,0,0
45,🦁,12,21,15,15,1,2,0,2,0,0
45,stevecronin,7,17,15,15,1,2,0,2,0,0
45,LetMeLive,12,16,15,15,1,2,0,2,0,0
45,bacoor  hbwallet,7,15,15,15,1,2,0,2,0,0
45,のんちゃん,12,15,15,15,1,2,0,2,0,0
45,MrMousey,7,15,15,15,1,2,0,2,0,0
45,DestrucTorT,9,32,14,14,1,2,0,3,0,0
45,[IRIS]Yusakman,8,16,14,14,1,2,0,2,0,0
45,dobindubas,6,18,14,14,1,2,0,2,0,0
45,zomsie,7,14,14,14,1,2,0,2,0,0
45,Ares,9,33,14,14,1,2,0,3,0,0
45,Bielobog,5,15,14,14,1,2,0,2,0,0
45,PooNaniHunter,9,14,14,14,1,2,0,2,0,0
45,Resonator,12,16,14,14,1,2,0,2,0,0
