Week Number,Place,Username,Peak Rating,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
50,1.0,Mirage88,1533.203168,76,22,22,0,0,2,0,0,3
50,2.0,Wezz,1528.05984,31,21,21,0,0,2,0,1,2
50,3.0,[tst]cautionfun,1511.559552,45,21,21,0,0,2,0,0,2
50,4.0,Ayo,1484.682816,30,21,21,0,1,1,0,0,2
50,5.0,The38th,1505.485216,30,20,20,0,0,1,0,0,2
50,6.0,rl958,1486.345344,21,20,20,0,0,1,0,1,1
50,7.0,ゆかり,1480.203456,22,20,20,0,0,1,0,0,1
50,8.0,Ἄρης,1460.3768,30,20,20,0,0,0,0,1,1
50,9.0,Gandalf,1515.218176,32,19,19,0,1,0,0,0,1
50,10.0,[tst] Freedan,1497.540704,23,19,19,0,0,0,0,0,1
