Week Number,Place,Username,Peak Rating,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
48,1.0,Charles Utkins,1531.896096,31,23,23,0,0,2,0,0,3
48,2.0,三日月,1490.128768,30,21,21,0,0,2,0,1,2
48,3.0,r3hab,1496.305792,30,20,20,0,0,2,0,0,2
48,4.0,☺Mythic☺ Dragonstorm,1494.599648,20,20,20,0,1,1,0,0,2
48,5.0,UnjustOne,1456.910016,38,19,19,0,0,1,0,0,2
48,6.0,GUDecks.com,1456.01552,38,19,19,0,0,1,0,1,1
48,7.0,DiegoFerreL,1453.664032,46,19,19,0,0,1,0,0,1
48,8.0,[Mythic] revan,1480.792704,30,18,18,0,0,0,0,1,1
48,9.0,RavenGuard,1457.536512,20,18,18,0,1,0,0,0,1
48,10.0,TREY,1455.273984,42,18,18,0,0,0,0,0,1
