Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
49,[Mythic] GGian,12,35,24,24,0,0,3,1,1,2
49,魔junior,12,22,22,22,0,0,3,0,0,2
49,[tst]cautionfun,12,61,21,21,0,0,2,1,2,1
49,Wezz,12,38,21,21,0,0,2,1,2,1
49,[Mythic] revan,12,31,21,21,0,0,2,1,2,1
49,[tst]bonkthatbutt,12,21,21,21,0,0,2,0,2,1
49,Mirage88,12,48,20,20,0,1,1,2,1,1
49,Ayo,12,28,20,20,0,1,1,1,1,1
49,Lysander,12,23,20,20,0,1,1,1,1,1
49,☺Mythic☺ Dragonstorm,12,37,19,19,0,2,1,1,2,0
49,TREY,12,43,19,19,0,2,1,1,2,0
49,r3hab,12,30,19,19,0,2,1,1,2,0
49,Apollo,12,19,19,19,0,2,1,0,2,0
49,Грумвол,11,19,19,19,0,2,1,0,2,0
49,cryptoznewb,11,19,19,19,0,2,1,0,2,0
49,[tst]themudman,12,56,18,18,0,3,0,1,2,0
49,よしだ,12,40,18,18,0,3,0,1,2,0
49,Ares,9,36,19,18,0,3,0,1,2,0
49,TheNachoSamurai,12,33,18,18,0,3,0,1,2,0
49,自然,12,30,18,18,0,3,0,1,2,0
49,BlackMagic,9,30,19,18,0,3,0,1,2,0
49,Aragon,10,30,18,18,0,3,0,1,2,0
49,sparky,9,27,20,18,0,3,0,0,2,0
49,ногоонзалуу,12,20,18,18,0,3,0,0,2,0
49,GUDecks.com,12,19,18,18,0,3,0,0,2,0
49,[tst] Freedan,12,18,18,18,0,3,0,0,2,0
49,Ἄρης,12,18,18,18,0,3,0,0,2,0
49,Scuffle,12,18,18,18,0,3,0,0,2,0
49,trilldebeest,8,30,17,17,1,2,0,1,2,0
49,Krumpy Lumpkins,12,40,17,17,1,2,0,1,2,0
49,学中文,12,30,17,17,1,2,0,1,2,0
49,sigfriedCrypto,8,27,18,17,1,2,0,0,2,0
49,Fantomasek,12,30,17,17,1,2,0,1,2,0
49,menelvagor,11,18,17,17,1,2,0,0,2,0
49,RavenGuard,12,21,17,17,1,2,0,0,2,0
49,Surface2AirMissle,8,21,19,17,1,2,0,0,2,0
49,[Mythic] Unchained,12,18,17,17,1,2,0,0,2,0
49,Kselsi,8,20,19,17,1,2,0,0,2,0
49,Clackity,9,17,17,17,1,2,0,0,2,0
49,Unique.Esprit,8,18,17,17,1,2,0,0,2,0
49,キツネの叫び,12,17,17,17,1,2,0,0,2,0
49,KLMJ,8,17,17,17,1,2,0,0,2,0
49,UnjustOne,12,17,17,17,1,2,0,0,2,0
49,Hellicon,8,17,17,17,1,2,0,0,2,0
49,Galragg,8,17,17,17,1,2,0,0,2,0
49,Demolisher,8,17,17,17,1,2,0,0,2,0
49,Sir Tango,10,17,17,17,1,2,0,0,2,0
49,☺,7,47,17,16,0,3,0,2,1,0
49,noteboom,11,37,16,16,0,3,0,2,1,0
49,V-Hirvi,12,40,16,16,0,3,0,2,1,0
49,Merkuriusmelv0,8,36,16,16,0,3,0,2,1,0
49,Acecompac,7,32,16,16,0,3,0,2,1,0
49,Demons,12,31,16,16,0,3,0,2,1,0
49,Archangel1318,12,40,16,16,0,3,0,2,1,0
49,Djonbol1,7,30,16,16,0,3,0,2,1,0
49,ザハード,12,30,16,16,0,3,0,2,1,0
49,popovanton89,12,32,16,16,0,3,0,2,1,0
49,Moonpig,11,23,16,16,0,3,0,1,1,0
49,The38th,12,21,16,16,0,3,0,1,1,0
49,davirozz,7,23,16,16,0,3,0,1,1,0
49,Mlon Eusk,12,20,16,16,0,3,0,1,1,0
49,✜,10,18,16,16,0,3,0,1,1,0
49,ElPatron,8,17,16,16,0,3,0,1,1,0
49,Swen 122,8,17,16,16,0,3,0,1,1,0
49,あ,12,19,16,16,0,3,0,1,1,0
49,neverytime,7,20,17,16,0,3,0,1,1,0
49,quantumgamble,10,19,16,16,0,3,0,1,1,0
49,little1985,9,17,16,16,0,3,0,1,1,0
49,Saint777,10,17,16,16,0,3,0,1,1,0
49,Cananopie,7,17,16,16,0,3,0,1,1,0
49,ゆかり,12,17,16,16,0,3,0,1,1,0
49,chaoren,12,16,16,16,0,3,0,1,1,0
49,zlaxor,12,17,16,16,0,3,0,1,1,0
49,colliseum,12,16,16,16,0,3,0,1,1,0
49,mattyesq,9,16,16,16,0,3,0,1,1,0
49,mahkoyu5143,8,16,16,16,0,3,0,1,1,0
49,Drummerboyj,7,20,20,16,0,3,0,1,1,0
49,武将,10,16,16,16,0,3,0,1,1,0
49,Þ,10,16,16,16,0,3,0,1,1,0
49,karlito636,9,16,16,16,0,3,0,1,1,0
49,Bielobog,7,16,16,16,0,3,0,1,1,0
49,שלימזל,12,16,16,16,0,3,0,1,1,0
49,kovanova,7,16,16,16,0,3,0,1,1,0
49,TheHassy,12,16,16,16,0,3,0,1,1,0
49,Glamlys,8,16,16,16,0,3,0,1,1,0
49,⌀,7,16,16,16,0,3,0,1,1,0
49,XSITE,10,54,15,15,1,2,0,3,0,0
49,superslim,8,47,15,15,1,2,0,3,0,0
49,Gandalf,12,42,15,15,1,2,0,3,0,0
49,idncrypto67,6,38,16,15,1,2,0,3,0,0
49,sczi*987,6,33,18,15,1,2,0,3,0,0
49,ƉƉƉƉ,9,31,15,15,1,2,0,3,0,0
49,Starry Ninja,12,21,15,15,1,2,0,2,0,0
49,TheCosmicShame,8,30,15,15,1,2,0,3,0,0
49,roytutu,11,30,15,15,1,2,0,3,0,0
49,Lokilamadupa,12,30,15,15,1,2,0,3,0,0
49,superslim-NCP,8,24,15,15,1,2,0,2,0,0
49,CopperPitch,12,32,15,15,1,2,0,3,0,0
49,Waikikamukau,12,31,15,15,1,2,0,3,0,0
49,slivenec,7,24,15,15,1,2,0,2,0,0
49,longdarth,12,22,15,15,1,2,0,2,0,0
49,cholzgu,8,19,15,15,1,2,0,2,0,0
49,ベック,9,17,15,15,1,2,0,2,0,0
49,Konohime,6,18,15,15,1,2,0,2,0,0
49,Strikeroff,7,16,15,15,1,2,0,2,0,0
49,SLIB,7,15,15,15,1,2,0,2,0,0
49,[Mythic] Ducky,12,16,15,15,1,2,0,2,0,0
49,Resonator,12,15,15,15,1,2,0,2,0,0
49,dobindubas,6,17,17,15,1,2,0,2,0,0
49,Afronizer,10,15,15,15,1,2,0,2,0,0
49,[Pulse] v2,10,15,15,15,1,2,0,2,0,0
49,OverM,11,15,15,15,1,2,0,2,0,0
49,Nininiao,12,15,15,15,1,2,0,2,0,0
49,Jahura_Banu,6,42,14,14,1,2,0,3,0,0
49,Nonchan,12,41,14,14,1,2,0,3,0,0
49,Kinch,12,40,14,14,1,2,0,3,0,0
49,rl958,11,35,14,14,1,2,0,3,0,0
49,Xpwao,5,31,14,14,1,2,0,3,0,0
49,Fantasmita,9,30,14,14,1,2,0,3,0,0
49,Roberto23,6,24,14,14,1,2,0,2,0,0
49,DeHenne,8,21,14,14,1,2,0,2,0,0
49,Sadness,5,24,14,14,1,2,0,2,0,0
49,Slippy P,9,20,14,14,1,2,0,2,0,0
49,xMrHyd3,5,17,14,14,1,2,0,2,0,0
49,SonGokuBg,11,14,14,14,1,2,0,2,0,0
49,Damaged Gadget,9,14,14,14,1,2,0,2,0,0
49,Xiato,6,15,14,14,1,2,0,2,0,0
49,CuCu99,8,15,14,14,1,2,0,2,0,0
49,radi,12,15,14,14,1,2,0,2,0,0
