Week Number,Place,Username,Peak Rating,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
49,1.0,[Mythic] GGian,1526.8808,35,24,24,0,0,2,0,0,3
49,2.0,魔junior,1547.377824,22,22,22,0,0,2,0,1,2
49,3.0,Wezz,1517.142432,38,21,21,0,0,2,0,0,2
49,4.0,[tst]cautionfun,1508.380384,61,21,21,0,1,1,0,0,2
49,5.0,[tst]bonkthatbutt,1495.868576,21,21,21,0,0,1,0,0,2
49,6.0,[Mythic] revan,1494.114624,31,21,21,0,0,1,0,1,1
49,7.0,Lysander,1500.713216,23,20,20,0,0,1,0,0,1
49,8.0,Ayo,1489.115424,28,20,20,0,0,0,0,1,1
49,9.0,Mirage88,1465.060192,48,20,20,0,1,0,0,0,1
49,10.0,r3hab,1510.870976,30,19,19,0,0,0,0,0,1
