Week Number,Username,Rank,Wins,Wins in First 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary
48,Charles Utkins,12,31,23,23,0,0,3,2,0,2
48,Cerne,11,23,23,23,0,0,3,1,0,2
48,三日月,12,30,21,21,0,0,2,1,2,1
48,EatTheRich,11,32,21,21,0,0,2,1,2,1
48,☺Mythic☺ Dragonstorm,12,20,20,20,0,1,1,1,1,1
48,r3hab,12,30,20,20,0,1,1,2,1,1
48,LCHammer,11,20,20,20,0,1,1,1,1,1
48,UnjustOne,12,38,19,19,0,2,1,1,2,0
48,DiegoFerreL,12,46,19,19,0,2,1,1,2,0
48,GUDecks.com,12,38,19,19,0,2,1,1,2,0
48,kigawakunto27,11,21,19,19,0,2,1,0,2,0
48,Грумвол,11,19,19,19,0,2,1,0,2,0
48,Nagibator777,10,31,20,19,0,2,1,1,2,0
48,quantumgamble,10,45,19,19,0,2,1,1,2,0
48,Waikikamukau,10,30,21,19,0,2,1,1,2,0
48,TREY,12,42,18,18,0,3,0,1,2,0
48,Ckastigador,12,30,18,18,0,3,0,1,2,0
48,[Mythic] revan,12,30,18,18,0,3,0,1,2,0
48,RavenGuard,12,20,18,18,0,3,0,0,2,0
48,Nonchan,12,41,18,18,0,3,0,1,2,0
48,Ἄρης,12,18,18,18,0,3,0,0,2,0
48,nan,12,30,18,18,0,3,0,1,2,0
48,🦁,10,18,18,18,0,3,0,0,2,0
48,BasVanSpanker,10,22,18,18,0,3,0,0,2,0
48,²³,9,19,19,18,0,3,0,0,2,0
48,读写汉字 - 学中文,9,19,19,18,0,3,0,0,2,0
48,[Twitch4Fun] Kaeserotor,9,37,18,18,0,3,0,1,2,0
48,mamont123,9,24,18,18,0,3,0,0,2,0
48,USP12345,9,19,19,18,0,3,0,0,2,0
48,Wezz,12,33,17,17,1,2,0,1,2,0
48,Resonator,12,17,17,17,1,2,0,0,2,0
48,V-Hirvi,12,17,17,17,1,2,0,0,2,0
48,[tst]themudman,12,39,17,17,1,2,0,1,2,0
48,Krumpy Lumpkins,12,31,17,17,1,2,0,1,2,0
48,[Pulse] Aldoc ♥♫,12,17,17,17,1,2,0,0,2,0
48,Archangel1318,12,46,17,17,1,2,0,1,2,0
48,noteboom,12,30,17,17,1,2,0,1,2,0
48,SolarMkd,12,18,17,17,1,2,0,0,2,0
48,[tst]cautionfun,12,30,17,17,1,2,0,1,2,0
48,[Mythic] VVH,12,17,17,17,1,2,0,0,2,0
48,monStar,12,17,17,17,1,2,0,0,2,0
48,自然,12,33,17,17,1,2,0,1,2,0
48,Savant.Specter,11,32,17,17,1,2,0,1,2,0
48,blacksad,10,30,17,17,1,2,0,1,2,0
48,cambocleve,9,18,17,17,1,2,0,0,2,0
48,Afronizer,9,32,17,17,1,2,0,1,2,0
48,Fiofan,8,34,17,17,1,2,0,1,2,0
48,Demolisher,8,18,18,17,1,2,0,0,2,0
48,mattyesq,8,17,17,17,1,2,0,0,2,0
48,اکویٹا,8,17,17,17,1,2,0,0,2,0
48,Boh,8,41,17,17,1,2,0,1,2,0
48,dalahad,8,18,18,17,1,2,0,0,2,0
48,(｡▼皿▼),8,39,18,17,1,2,0,1,2,0
48,☺,8,73,18,17,1,2,0,1,2,0
48,ProAndyKiller,8,18,18,17,1,2,0,0,2,0
48,rob31rob31,8,17,17,17,1,2,0,0,2,0
48,Galragg,8,18,18,17,1,2,0,0,2,0
48,ElPatron,8,30,18,17,1,2,0,1,2,0
48,Apollo,12,16,16,16,0,3,0,1,1,0
48,colliseum,12,27,16,16,0,3,0,1,1,0
