,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,Ἄρης,1,1507.399072,21,,21,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,Krumpy Lumpkins,2,1507.016032,35,,21,0,0,2,0,1,2,,
,幻,3,1478.895136,30,,21,0,0,2,0,0,2,,
,The38th,4,1533.207136,71,,20,0,1,1,0,0,2,,
,Charles Utkins,5,1505.671296,37,,20,0,0,1,0,0,2,,
,[tst] Freedan,6,1504.280448,52,,20,0,0,1,0,1,1,,
,[Mythic] Unchained,7,1502.999264,46,,20,0,0,1,0,0,1,,
,自然,8,1500.973632,37,,20,0,0,0,0,1,1,,
,[Mythic] Dragonstorm,9,1484.323648,37,,20,0,1,0,0,0,1,,
,[Mythic] Dookis,10,1481.579424,20,,20,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,幻,,12,30,21,21,0,0,2,1,2,1,,
,Krumpy Lumpkins,,12,35,21,21,0,0,2,1,2,1,,
,Ἄρης,,12,21,21,21,0,0,2,0,2,1,,
,[Mythic] revan,,11,31,20,20,0,1,1,2,1,1,,
Complete,Charles Utkins,,12,37,20,20,0,1,1,2,1,1,,
Weekend,自然,,12,37,20,20,0,1,1,2,1,1,,
Ranked,Akilsainon,,11,30,20,20,0,1,1,2,1,1,,
(Includes,[tst] Freedan,,12,52,20,20,0,1,1,2,1,1,,
Bonus Prizes,Archangel1318,,12,24,20,20,0,1,1,1,1,1,,
for 30 Wins),The38th,,12,71,20,20,0,1,1,2,1,1,,
,[Mythic] Unchained,,12,46,20,20,0,1,1,2,1,1,,
,[Mythic] Dragonstorm,,12,37,20,20,0,1,1,2,1,1,,
,[Mythic] Dookis,,12,20,20,20,0,1,1,1,1,1,,
,Godamnitleeroy,,12,36,19,19,0,2,1,1,2,0,,
,jama,,12,33,19,19,0,2,1,1,2,0,,
,[Pulse] Aldoc,,12,35,19,19,0,2,1,1,2,0,,
,Грумвол,,11,23,19,19,0,2,1,0,2,0,,
,Lezuziusz,,12,19,19,19,0,2,1,0,2,0,,
,Lilac,,12,26,19,19,0,2,1,0,2,0,,
,Woden,,11,24,19,19,0,2,1,0,2,0,,
,TREY,,12,26,19,19,0,2,1,0,2,0,,
,kigawakunto27,,12,23,19,19,0,2,1,0,2,0,,
,F1rst,,9,24,19,18,0,3,0,0,2,0,,
,noteboom,,10,19,18,18,0,3,0,0,2,0,,
,ZAFARI,,9,30,18,18,0,3,0,1,2,0,,
,StrongHands,,9,18,18,18,0,3,0,0,2,0,,
,[VET] Apollo,,12,30,18,18,0,3,0,1,2,0,,
,Veloth,,12,24,18,18,0,3,0,0,2,0,,
,Cerne,,12,20,18,18,0,3,0,0,2,0,,
,deepbanan4,,10,21,18,18,0,3,0,0,2,0,,
,carebear,,12,30,18,18,0,3,0,1,2,0,,
,superslim-NCP,,9,35,18,18,0,3,0,1,2,0,,
,XSITE,,10,30,18,18,0,3,0,1,2,0,,
,[Mythic] saints,,12,30,18,18,0,3,0,1,2,0,,
,imslo,,9,20,18,18,0,3,0,0,2,0,,
,r3hab,,12,36,18,18,0,3,0,1,2,0,,
,TheNotoriouszz,,9,19,18,18,0,3,0,0,2,0,,
,monStar,,12,29,18,18,0,3,0,0,2,0,,
,naynaysoosoo,,9,24,18,18,0,3,0,0,2,0,,
,OverM,,8,34,20,17,1,2,0,1,2,0,,
,quokku,,8,24,20,17,1,2,0,0,2,0,,
,MyReligion,,8,28,18,17,1,2,0,0,2,0,,
,Wezz,,12,34,17,17,1,2,0,1,2,0,,
,Ares,,9,42,17,17,1,2,0,1,2,0,,
,flex13,,12,106,17,17,1,2,0,1,2,0,,
,superslim,,12,30,17,17,1,2,0,1,2,0,,
,V-Hirvi,,12,31,17,17,1,2,0,1,2,0,,
,[tst]themudman,,12,17,17,17,1,2,0,0,2,0,,
,JoltzNinja,,11,31,17,17,1,2,0,1,2,0,,
,Mirage88,,12,37,17,17,1,2,0,1,2,0,,
,pornhub,,10,19,17,17,1,2,0,0,2,0,,
,[Mythic] Ducky,,12,31,17,17,1,2,0,1,2,0,,
,[Pulse] v2,,11,35,17,17,1,2,0,1,2,0,,
,GreenGuy,,12,31,17,17,1,2,0,1,2,0,,
,hERoIC15397,,9,45,17,17,1,2,0,1,2,0,,
,Salernik,,10,17,17,17,1,2,0,0,2,0,,
,drchronic01,,9,17,17,17,1,2,0,0,2,0,,
,little1985,,11,21,17,17,1,2,0,0,2,0,,
,白乌鸦,,12,35,17,17,1,2,0,1,2,0,,
,GUDecks.com,,12,24,17,17,1,2,0,0,2,0,,
,dalahad,,10,30,17,17,1,2,0,1,2,0,,
,Aragon,,12,34,17,17,1,2,0,1,2,0,,
,Pwned_By_A_Girl,,7,22,18,16,0,3,0,1,1,0,,
,memory1tb,,7,18,18,16,0,3,0,1,1,0,,
,skabber,,7,20,17,16,0,3,0,1,1,0,,
,Mr_Zinger,,7,18,17,16,0,3,0,1,1,0,,
,mmGRE3Nww,,7,19,17,16,0,3,0,1,1,0,,
,[tst]cautionfun,,12,30,16,16,0,3,0,2,1,0,,
,arisho,,8,33,16,16,0,3,0,2,1,0,,
,Tru+hSe3ker,,11,20,16,16,0,3,0,1,1,0,,
,Returner,,8,16,16,16,0,3,0,1,1,0,,
,D_Vitiate,,11,46,16,16,0,3,0,2,1,0,,
,Gandharva,,12,16,16,16,0,3,0,1,1,0,,
,[tst]bonkthatbutt,,12,22,16,16,0,3,0,1,1,0,,
,[Mythic] GGian,,12,41,16,16,0,3,0,2,1,0,,
,DRASTICxOUTLAW,,7,16,16,16,0,3,0,1,1,0,,
,✜,,10,33,16,16,0,3,0,2,1,0,,
,Sith,,12,17,16,16,0,3,0,1,1,0,,
,ozimodan,,12,19,16,16,0,3,0,1,1,0,,
,Scuffle,,12,16,16,16,0,3,0,1,1,0,,
,copperpitch,,12,42,16,16,0,3,0,2,1,0,,
,PlinytheEther,,11,30,16,16,0,3,0,2,1,0,,
,Zaklínač,,5,16,16,16,1,2,0,2,0,0,,
,MOCHET2020,,6,17,17,15,1,2,0,2,0,0,,
,Kselsi,,5,16,16,15,1,2,0,2,0,0,,
,TheUnknown,,7,17,15,15,1,2,0,2,0,0,,
,Unique.Esprit,,9,16,15,15,1,2,0,2,0,0,,
,Longy,,12,70,15,15,1,2,0,3,0,0,,
,DeHenne,,8,18,15,15,1,2,0,2,0,0,,
,PooNaniHunter,,9,21,15,15,1,2,0,2,0,0,,
,SpaceCoastKook,,11,16,15,15,1,2,0,2,0,0,,
,GodMode,,8,20,15,15,1,2,0,2,0,0,,
,HeresYourTollTroll,,8,21,15,15,1,2,0,2,0,0,,
,darkbluechain,,9,27,15,15,1,2,0,2,0,0,,
,Manymany,,6,36,15,15,1,2,0,3,0,0,,
,justinj0305,,7,15,15,15,1,2,0,2,0,0,,
,maovader888,,6,23,15,15,1,2,0,2,0,0,,
,furryballs,,6,15,15,15,1,2,0,2,0,0,,
,⌀,,6,15,15,15,1,2,0,2,0,0,,
,mzob,,6,25,15,15,1,2,0,2,0,0,,
,Nagibator777,,12,32,15,15,1,2,0,3,0,0,,
,DiegoFerreL,,12,57,15,15,1,2,0,3,0,0,,
,Naaaaaaaaaas,,9,18,15,15,1,2,0,2,0,0,,
,Yaratsu,,7,16,15,15,1,2,0,2,0,0,,
,marukaziri,,7,15,15,15,1,2,0,2,0,0,,
,Marigoth,,8,35,15,15,1,2,0,3,0,0,,
,♜ ♝ ♞ ♟,,8,16,15,15,1,2,0,2,0,0,,
,Beacze,,8,31,15,15,1,2,0,3,0,0,,
,Slye,,9,15,15,15,1,2,0,2,0,0,,
,sensebe,,10,47,15,15,1,2,0,3,0,0,,
,ﺴﺶﻈ,,9,25,15,15,1,2,0,2,0,0,,
,mike0182,,10,29,15,15,1,2,0,2,0,0,,
,Chamil,,9,15,15,15,1,2,0,2,0,0,,
,ferzspb,,9,26,15,15,1,2,0,2,0,0,,
,spacepirate,,8,19,15,15,1,2,0,2,0,0,,
,Djonbol1,,8,35,15,15,1,2,0,3,0,0,,
,mayablock,,7,16,15,15,1,2,0,2,0,0,,
,EricShawn,,10,15,15,15,1,2,0,2,0,0,,
,quantumgamble,,10,57,15,15,1,2,0,3,0,0,,
,Wades.ETH,,12,38,15,15,1,2,0,3,0,0,,
,Vany,,12,32,15,15,1,2,0,3,0,0,,
,LordDarktempler,,10,31,15,15,1,2,0,3,0,0,,
,stevecronin,,7,36,15,15,1,2,0,3,0,0,,
,LetMeLive,,12,31,15,15,1,2,0,3,0,0,,
,maulotov,,12,15,15,15,1,2,0,2,0,0,,
,Ayo,,12,15,15,15,1,2,0,2,0,0,,
,三日月,,12,15,15,15,1,2,0,2,0,0,,
,gou,,12,15,15,15,1,2,0,2,0,0,,
,Demons,,12,57,15,15,1,2,0,3,0,0,,
,trent_reznor,,7,30,14,14,1,2,0,3,0,0,,
,Dallas_barr,,11,16,14,14,1,2,0,2,0,0,,
,PleaseDontRopeMe,,11,36,14,14,1,2,0,3,0,0,,
,mydogzeus,,11,14,14,14,1,2,0,2,0,0,,
,Fantomasek,,12,24,14,14,1,2,0,2,0,0,,
,Resonator,,11,14,14,14,1,2,0,2,0,0,,
,densdensdens,,7,14,14,14,1,2,0,2,0,0,,
,gerundio,,8,16,14,14,1,2,0,2,0,0,,
,a29654776,,8,23,14,14,1,2,0,2,0,0,,
,Koyaanisqatsi,,6,33,14,14,1,2,0,3,0,0,,
,ěĝĝƑơơƴơůňĝ,,9,36,14,14,1,2,0,3,0,0,,
,Lord of Crypto,,8,14,14,14,1,2,0,2,0,0,,
,Omen #MetaHash,,11,14,14,14,1,2,0,2,0,0,,
,Lysander,,12,21,14,14,1,2,0,2,0,0,,
,Q,,6,14,14,14,1,2,0,2,0,0,,
,trilldebeest,,10,20,14,14,1,2,0,2,0,0,,
,superman313,,10,39,14,14,1,2,0,3,0,0,,
,ZENIMOON,,8,29,14,14,1,2,0,2,0,0,,
,Shibanqk,,12,44,14,14,1,2,0,3,0,0,,
,Waikikamukau,,12,17,14,14,1,2,0,2,0,0,,
,Makakka,,8,14,14,14,1,2,0,2,0,0,,
,reddybear,,12,14,14,14,1,2,0,2,0,0,,
,Brassica7,,10,20,14,14,1,2,0,2,0,0,,
,魔junior,,12,17,14,14,1,2,0,2,0,0,,
,Aziekial,,8,27,14,14,1,2,0,2,0,0,,
,sadisteck,,10,14,14,14,1,2,0,2,0,0,,
,Lucifer,,12,27,14,14,1,2,0,2,0,0,,
,__Razen__,,8,15,14,14,1,2,0,2,0,0,,
,apix3222,,7,30,14,14,1,2,0,3,0,0,,
,AnusMundi,,9,14,14,14,1,2,0,2,0,0,,
,Aadi1912,,7,18,14,14,1,2,0,2,0,0,,
,Slackov,,10,15,14,14,1,2,0,2,0,0,,
,TooEasy,,12,17,14,14,1,2,0,2,0,0,,
,Lifeboy,,11,22,14,14,1,2,0,2,0,0,,
,のんちゃん,,12,57,14,14,1,2,0,3,0,0,,
,TheHassy,,11,18,14,14,1,2,0,2,0,0,,
,ulcus,,7,15,14,14,1,2,0,2,0,0,,
,Bumboklaat,,9,14,14,14,1,2,0,2,0,0,,
,Ninjaturtle,,8,16,14,14,1,2,0,2,0,0,,
,Marginal,,9,16,14,14,1,2,0,2,0,0,,
,cryptoznewb,,12,17,14,14,1,2,0,2,0,0,,
,Soulsz16,,1,20,19,13,2,1,0,1,0,0,,
,cyrusthegreat,,2,18,18,13,2,1,0,1,0,0,,
,deadboy666,,1,24,18,13,2,1,0,1,0,0,,
,EricUnchained,,1,32,17,13,2,1,0,2,0,0,,
,Darkan00,,1,24,17,13,2,1,0,1,0,0,,
,shnoor,,1,17,17,13,2,1,0,1,0,0,,
,MisterTroll,,3,70,17,13,2,1,0,2,0,0,,
,zygeL,,1,22,15,13,2,1,0,1,0,0,,
,Lloyd88!,,1,20,15,13,2,1,0,1,0,0,,
,MariksAzova,,1,26,15,13,2,1,0,1,0,0,,
,wanderlust933,,2,18,15,13,2,1,0,1,0,0,,
,PrinceMing88,,1,17,14,13,2,1,0,1,0,0,,
,Dasrauscht,,4,17,14,13,2,1,0,1,0,0,,
,Zweinhander,,1,14,14,13,2,1,0,1,0,0,,
,USP12345,,3,18,14,13,2,1,0,1,0,0,,
,TSUKUTSUKU,,1,16,14,13,2,1,0,1,0,0,,
,Sandalwood,,1,20,13,13,2,1,0,1,0,0,,
,Herodot20,,7,21,13,13,2,1,0,1,0,0,,
,dobindubas,,5,14,13,13,2,1,0,1,0,0,,
,zomsie,,9,32,13,13,2,1,0,2,0,0,,
,Dactar,,10,16,13,13,2,1,0,1,0,0,,
,popovanton89,,12,39,13,13,2,1,0,2,0,0,,
,Tallarico,,12,14,13,13,2,1,0,1,0,0,,
,RedDeath,,10,13,13,13,2,1,0,1,0,0,,
,Nanich,,6,25,13,13,2,1,0,1,0,0,,
,[Twitch4Fun] Kaeserotor,,11,14,13,13,2,1,0,1,0,0,,
,roytutu,,11,33,13,13,2,1,0,2,0,0,,
,CuCu99,,7,20,13,13,2,1,0,1,0,0,,
,Valhalla,,8,15,13,13,2,1,0,1,0,0,,
,finansisn,,8,23,13,13,2,1,0,1,0,0,,
,X Æ A-12,,9,41,13,13,2,1,0,2,0,0,,
,slivenec,,9,15,13,13,2,1,0,1,0,0,,
,VonMises,,12,13,13,13,2,1,0,1,0,0,,
,pavlik74rus,,6,14,13,13,2,1,0,1,0,0,,
,Oshay,,8,13,13,13,2,1,0,1,0,0,,
,SniffOnMe,,12,13,13,13,2,1,0,1,0,0,,
,Rvu_Vsem_Duplo,,7,15,13,13,2,1,0,1,0,0,,
,Ckastigador,,12,30,13,13,2,1,0,2,0,0,,
,GazzaMine,,1,13,13,13,2,1,0,1,0,0,,
,k2h,,11,32,13,13,2,1,0,2,0,0,,
,moogmother,,1,40,13,13,2,1,0,2,0,0,,
,twisterdw,,8,31,13,13,2,1,0,2,0,0,,
,Dimuron,,7,17,13,13,2,1,0,1,0,0,,
,stoeckro,,8,14,13,13,2,1,0,1,0,0,,
,amin,,8,56,13,13,2,1,0,2,0,0,,
,_fireartist,,8,14,13,13,2,1,0,1,0,0,,
,Chosen,,10,13,13,13,2,1,0,1,0,0,,
,馬鹿じゃない,,12,13,13,13,2,1,0,1,0,0,,
,MrEagle,,1,13,13,13,2,1,0,1,0,0,,
,JohnWick,,12,14,13,13,2,1,0,1,0,0,,
,Mari0netik,,5,25,13,13,2,1,0,1,0,0,,
,blacksad,,10,13,13,13,2,1,0,1,0,0,,
,CarnivalBigTop,,12,33,13,13,2,1,0,2,0,0,,
,Isildur1,,8,17,13,13,2,1,0,1,0,0,,
,ReportMe,,8,13,13,13,2,1,0,1,0,0,,
,chilltown,,8,16,13,13,2,1,0,1,0,0,,
,ThereCameAHero,,1,13,13,13,2,1,0,1,0,0,,
,cicada,,9,57,13,13,2,1,0,2,0,0,,
,with,,12,13,13,13,2,1,0,1,0,0,,
,Zmay,,11,13,13,13,2,1,0,1,0,0,,
,eddie murphy,,7,42,13,13,2,1,0,2,0,0,,
,isaacfufu,,8,19,13,13,2,1,0,1,0,0,,
,neverytime,,7,23,13,13,2,1,0,1,0,0,,
