,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,Wilderness,1,1516.134208,24,22,22,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,[tst]cautionfun,2,1518.289856,32,21,21,0,0,2,0,1,2,,
,Mirage88,3,1515.852992,43,21,21,0,0,2,0,0,2,,
,Apollo,4,1486.894976,21,21,21,0,1,1,0,0,2,,
,jama,5,1507.800512,20,20,20,0,0,1,0,0,2,,
,[Mythic] saints,6,1489.634304,31,20,20,0,0,1,0,1,1,,
,[Mythic] revan,7,1483.734752,36,20,20,0,0,1,0,0,1,,
,Lysander,8,1468.790752,20,20,20,0,0,0,0,1,1,,
,zlaxor,9,1466.357728,20,20,20,0,1,0,0,0,1,,
,FoxCries,10,1481.126496,20,19,19,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,Wilderness,,12,24,22,22,0,0,3,0,0,2,,
,Apollo,,12,21,21,21,0,0,2,0,2,1,,
,Mirage88,,12,43,21,21,0,0,2,1,2,1,,
,[tst]cautionfun,,12,32,21,21,0,0,2,1,2,1,,
Complete,[Mythic] saints,,12,31,20,20,0,1,1,2,1,1,,
Weekend,[Mythic] revan,,12,36,20,20,0,1,1,2,1,1,,
Ranked,jama,,12,20,20,20,0,1,1,1,1,1,,
(Includes,zlaxor,,12,20,20,20,0,1,1,1,1,1,,
Bonus Prizes,Lysander,,12,20,20,20,0,1,1,1,1,1,,
for 30 Wins),FoxCries,,12,20,19,19,0,2,1,0,2,0,,
,Charles Utkins,,12,54,19,19,0,2,1,1,2,0,,
,Грумвол,,12,31,19,19,0,2,1,1,2,0,,
,LetMeLive,,12,22,19,19,0,2,1,0,2,0,,
,DiegoFerreL,,12,39,19,19,0,2,1,1,2,0,,
,白乌鸦,,12,22,19,19,0,2,1,0,2,0,,
,Moonpig,,10,35,22,19,0,2,1,1,2,0,,
,[tst] Freedan,,12,49,19,19,0,2,1,1,2,0,,
,Longy,,12,30,19,19,0,2,1,1,2,0,,
,radi,,10,20,20,19,0,2,1,0,2,0,,
,spaceinvader,,10,21,20,19,0,2,1,0,2,0,,
,のんちゃん,,12,58,19,19,0,2,1,1,2,0,,
,[tst]bonkthatbutt,,12,21,19,19,0,2,1,0,2,0,,
,Dave,,10,33,21,19,0,2,1,1,2,0,,
,自然,,12,34,19,19,0,2,1,1,2,0,,
,kigawakunto27,,11,18,18,18,0,3,0,0,2,0,,
,DthRevan,,9,18,18,18,0,3,0,0,2,0,,
,JoltzNinja,,12,32,18,18,0,3,0,1,2,0,,
,reddybear,,11,19,18,18,0,3,0,0,2,0,,
,✜CryptoDoC✜,,12,32,18,18,0,3,0,1,2,0,,
,[Mythic] Ducky,,12,31,18,18,0,3,0,1,2,0,,
,Scuffle,,12,18,18,18,0,3,0,0,2,0,,
,Ares,,9,35,18,18,0,3,0,1,2,0,,
,Resonator,,12,18,18,18,0,3,0,0,2,0,,
,[tst]themudman,,12,18,18,18,0,3,0,0,2,0,,
,Hermes,,10,19,18,18,0,3,0,0,2,0,,
,اکویٹا,,12,32,18,18,0,3,0,1,2,0,,
,doudou2201,,9,31,20,18,0,3,0,1,2,0,,
,☺,,12,35,18,18,0,3,0,1,2,0,,
,Nininiao,,9,31,20,18,0,3,0,1,2,0,,
,blacksad,,9,30,19,18,0,3,0,1,2,0,,
,Wades.ETH,,12,32,18,18,0,3,0,1,2,0,,
,Akilsainon,,12,19,17,17,1,2,0,0,2,0,,
,Wezz,,12,23,17,17,1,2,0,0,2,0,,
,Demolisher,,8,31,22,17,1,2,0,1,2,0,,
,Zorian,,9,17,17,17,1,2,0,0,2,0,,
,Leidenfrost,,9,38,17,17,1,2,0,1,2,0,,
,smirnawf,,8,18,18,17,1,2,0,0,2,0,,
,galdames2,,8,20,19,17,1,2,0,0,2,0,,
,Þ,,12,20,17,17,1,2,0,0,2,0,,
,cicada,,8,49,18,17,1,2,0,1,2,0,,
,Galragg,,9,17,17,17,1,2,0,0,2,0,,
,someonesomeone,,8,30,17,17,1,2,0,1,2,0,,
,KceoLine,,8,32,17,17,1,2,0,1,2,0,,
,saphst4r,,8,24,19,17,1,2,0,0,2,0,,
,Isildur,,10,18,17,17,1,2,0,0,2,0,,
,CopperPitch,,12,34,17,17,1,2,0,1,2,0,,
,z3ll,,12,17,17,17,1,2,0,0,2,0,,
,Surface2AirMissle,,8,18,18,17,1,2,0,0,2,0,,
,nshrd,,12,30,17,17,1,2,0,1,2,0,,
,a29654776,,9,33,17,17,1,2,0,1,2,0,,
,禄 禄 禄 禄 禄,,8,22,20,17,1,2,0,0,2,0,,
,furryballs,,8,20,17,17,1,2,0,0,2,0,,
,Krumpy Lumpkins,,12,33,17,17,1,2,0,1,2,0,,
,脈動,,11,38,17,17,1,2,0,1,2,0,,
