,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,Charles Utkins,1,1531.896096,31,23,23,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,三日月,2,1490.128768,30,21,21,0,0,2,0,1,2,,
,r3hab,3,1496.305792,30,20,20,0,0,2,0,0,2,,
,☺Mythic☺ Dragonstorm,4,1494.599648,20,20,20,0,1,1,0,0,2,,
,UnjustOne,5,1456.910016,38,19,19,0,0,1,0,0,2,,
,GUDecks.com,6,1456.01552,38,19,19,0,0,1,0,1,1,,
,DiegoFerreL,7,1453.664032,46,19,19,0,0,1,0,0,1,,
,[Mythic] revan,8,1480.792704,30,18,18,0,0,0,0,1,1,,
,RavenGuard,9,1457.536512,20,18,18,0,1,0,0,0,1,,
,TREY,10,1455.273984,42,18,18,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,Charles Utkins,,12,31,23,23,0,0,3,2,0,2,,
,Cerne,,11,23,23,23,0,0,3,1,0,2,,
,三日月,,12,30,21,21,0,0,2,1,2,1,,
,EatTheRich,,11,32,21,21,0,0,2,1,2,1,,
Complete,☺Mythic☺ Dragonstorm,,12,20,20,20,0,1,1,1,1,1,,
Weekend,r3hab,,12,30,20,20,0,1,1,2,1,1,,
Ranked,LCHammer,,11,20,20,20,0,1,1,1,1,1,,
(Includes,UnjustOne,,12,38,19,19,0,2,1,1,2,0,,
Bonus Prizes,DiegoFerreL,,12,46,19,19,0,2,1,1,2,0,,
for 30 Wins),GUDecks.com,,12,38,19,19,0,2,1,1,2,0,,
,kigawakunto27,,11,21,19,19,0,2,1,0,2,0,,
,Грумвол,,11,19,19,19,0,2,1,0,2,0,,
,Nagibator777,,10,31,20,19,0,2,1,1,2,0,,
,quantumgamble,,10,45,19,19,0,2,1,1,2,0,,
,Waikikamukau,,10,30,21,19,0,2,1,1,2,0,,
,TREY,,12,42,18,18,0,3,0,1,2,0,,
,Ckastigador,,12,30,18,18,0,3,0,1,2,0,,
,[Mythic] revan,,12,30,18,18,0,3,0,1,2,0,,
,RavenGuard,,12,20,18,18,0,3,0,0,2,0,,
,Nonchan,,12,41,18,18,0,3,0,1,2,0,,
,Ἄρης,,12,18,18,18,0,3,0,0,2,0,,
,,,12,30,18,18,0,3,0,1,2,0,,
,🦁,,10,18,18,18,0,3,0,0,2,0,,
,BasVanSpanker,,10,22,18,18,0,3,0,0,2,0,,
,²³,,9,19,19,18,0,3,0,0,2,0,,
,读写汉字 - 学中文,,9,19,19,18,0,3,0,0,2,0,,
,[Twitch4Fun] Kaeserotor,,9,37,18,18,0,3,0,1,2,0,,
,mamont123,,9,24,18,18,0,3,0,0,2,0,,
,USP12345,,9,19,19,18,0,3,0,0,2,0,,
,Wezz,,12,33,17,17,1,2,0,1,2,0,,
,Resonator,,12,17,17,17,1,2,0,0,2,0,,
,V-Hirvi,,12,17,17,17,1,2,0,0,2,0,,
,[tst]themudman,,12,39,17,17,1,2,0,1,2,0,,
,Krumpy Lumpkins,,12,31,17,17,1,2,0,1,2,0,,
,[Pulse] Aldoc ♥♫,,12,17,17,17,1,2,0,0,2,0,,
