,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,[tst]cautionfun,1,1526.325824,30,,23,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,DiegoFerreL,2,1543.183808,71,,22,0,0,2,0,1,2,,
,[Mythic] Ducky,3,1509.268864,38,,21,0,0,2,0,0,2,,
,Charles Utkins,4,1478.072832,49,,21,0,1,1,0,0,2,,
,nshrd,5,1453.703296,31,,21,0,0,1,0,0,2,,
,[tst]themudman,6,1499.61152,30,,20,0,0,1,0,1,1,,
,SpaceCoastKook,7,1470.015648,40,,20,0,0,1,0,0,1,,
,[tst]bonkthatbutt,8,1485.00128,19,,19,0,0,0,0,1,1,,
,Apollo,9,1476.626368,19,,19,0,1,0,0,0,1,,
,jama,10,1472.952288,30,,19,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,[tst]cautionfun,,12,30,23,23,0,0,3,2,0,2,,
,DiegoFerreL,,12,71,22,22,0,0,3,1,0,2,,
,Wezz,,11,30,21,21,0,0,2,1,2,1,,
,Charles Utkins,,12,49,21,21,0,0,2,1,2,1,,
Complete,[Mythic] Ducky,,12,38,21,21,0,0,2,1,2,1,,
Weekend,nshrd,,12,31,21,21,0,0,2,1,2,1,,
Ranked,SpaceCoastKook,,12,40,20,20,0,1,1,2,1,1,,
(Includes,[tst]themudman,,12,30,20,20,0,1,1,2,1,1,,
Bonus Prizes,carebear,,11,30,20,20,0,1,1,2,1,1,,
for 30 Wins),Moonpig,,10,32,19,19,0,2,1,1,2,0,,
,z3ll,,12,19,19,19,0,2,1,0,2,0,,
,rl958,,12,24,19,19,0,2,1,0,2,0,,
,jama,,12,30,19,19,0,2,1,1,2,0,,
,Apollo,,12,19,19,19,0,2,1,0,2,0,,
,V-Hirvi,,12,46,19,19,0,2,1,1,2,0,,
,Lysander,,12,34,19,19,0,2,1,1,2,0,,
,Грумвол,,12,19,19,19,0,2,1,0,2,0,,
,Shibanqk,,12,33,19,19,0,2,1,1,2,0,,
,[tst]bonkthatbutt,,12,19,19,19,0,2,1,0,2,0,,
,[Mythic] Unchained,,12,34,19,19,0,2,1,1,2,0,,
,Nagibator777,,9,30,20,18,0,3,0,1,2,0,,
,Isildur,,9,30,20,18,0,3,0,1,2,0,,
,PleaseDontRopeMe,,9,35,19,18,0,3,0,1,2,0,,
,flex13,,12,32,18,18,0,3,0,1,2,0,,
,RedDeath,,10,18,18,18,0,3,0,0,2,0,,
,Mirage88,,12,49,18,18,0,3,0,1,2,0,,
,Sir Tango,,12,22,18,18,0,3,0,0,2,0,,
,Gandharva,,12,30,18,18,0,3,0,1,2,0,,
,SniffOnMe,,11,21,18,18,0,3,0,0,2,0,,
,verbalshadow,,11,20,18,18,0,3,0,0,2,0,,
,Krumpy Lumpkins,,12,35,18,18,0,3,0,1,2,0,,
,三十九,,11,18,18,18,0,3,0,0,2,0,,
,GUDecks.com,,12,34,18,18,0,3,0,1,2,0,,
,Kosgameslp,,9,18,18,18,0,3,0,0,2,0,,
,Surface2AirMissle,,8,19,19,17,1,2,0,0,2,0,,
